"time',"x',"y',"heading',"position',"velocity',"acceleration',"jerk'
0,4.366831,45.770446,0,0,0,0,0
0.02,4.56277640874944,45.7705540000473,-0.021289,0.195945438512853,9.79727192564264,489.863596282132,24493.1798141066
0.04,4.75872081749888,45.7705890001892,-0.042578,0.391889850388204,4.89861029688379,-122.466540718971,-15308.2534250276
0.06,4.95466522624832,45.7705520004258,-0.063867,0.587834262630937,3.26574020404554,-27.214501547304,1587.53398619445
0.08,5.15060963499776,45.770442000757,-0.085156,0.783778702256294,2.44930549531697,-10.2054338591072,212.61334610246
0.1,5.3465540437472,45.7702590011828,-0.106445,0.979723196460682,1.95944494204388,-4.89860553273089,53.0682832637633
0.12,5.54249845249665,45.7700030017032,-0.127734,1.17566777244048,1.63287146649834,-2.72144562954611,18.1429991932065
0.14,5.73844286056071,45.7696740023183,-0.149024,1.37161245670666,1.39960488761553,-1.66618984916295,7.53754128845112
0.16,5.93438726931017,45.769272003028,-0.170313,1.56755727782628,1.22465513199767,-1.09343597261162,3.5797117284458
0.18,6.13033167805963,45.7687980038323,-0.191602,1.76350225988863,1.0885832336797,-0.755954990655376,1.87489434420138
0.2,6.32627508680909,45.7682510047313,-0.212891,1.95944643214281,0.97972086127091,-0.544311862043967,1.05821564305704
0.22,6.74214065487926,45.7666600105944,-0.318571,2.37531504356794,1.89031187011422,4.13905004019686,21.2880086465492
0.24,7.21513219647708,45.7638650207813,-0.446175,2.8483148431357,1.97083249819899,0.335502617019861,-15.8481142632375
0.26,7.68811673876075,45.7600170343676,-0.573778,3.32131503789119,1.81923151829036,-0.583080691956252,-3.5330127268312
0.28,8.16109128035963,45.7551150513536,-0.701382,3.79431498127188,1.6892855120739,-0.464092879344498,0.424956473613407
0.3,8.71522552734769,45.7478470839059,-0.896531,4.34849688916481,1.84727302630976,0.526625047452859,3.30239308932452
0.32,9.33150431093227,45.7372651364819,-1.143422,4.96486651585628,1.92615508341083,0.246506428440863,-0.875370684412488
0.34,9.94773109520667,45.7240272017839,-1.390312,5.58123547400735,1.81284987691493,-0.3332506073409,-1.7051677522993
0.36,10.6008512905187,45.7069922937404,-1.677455,6.2345777867474,1.81483975761125,0.00552744637867993,0.941050149221055
0.38,11.3315484854752,45.6835234383692,-2.049222,6.96565177608757,1.92387891931622,0.286945162381486,0.740572936849491
0.4,12.0620776797644,45.6553126118542,-2.42099,7.69672547582062,1.82768424933263,-0.240486674958958,-1.31857959335111
0.42,12.8503137035517,45.6192648548188,-2.861581,8.48578534045917,1.87871396342512,0.121499319267813,0.861871414825646
0.44,13.6788616196664,45.5744511718587,-3.350477,9.3155442906841,1.88581579596575,0.0161405285014379,-0.239451797196306
0.46,14.5226498930802,45.521477548926,-3.851983,10.1609937895172,1.83793369311551,-0.104091527935291,-0.261374035732019
0.48,15.4380533194341,45.4553060316996,-4.411627,11.0787857608661,1.91206660697688,0.154443570544503,0.538614788499571
0.5,16.3527667458758,45.3801925798638,-4.971271,11.9965780484561,1.83558457517984,-0.152964063594066,-0.614815268277138
0.52,17.3466272722603,45.2884601730652,-5.513261,12.9946630049414,1.91939414708723,0.161172253668059,0.604108302427163
0.54,18.3395757994333,45.1873278275954,-6.05525,13.992748436613,1.8483063549474,-0.131644059518219,-0.54225243182644
0.56,19.4052845565046,45.0694073481936,-6.453919,15.0649612859861,1.91466580245201,0.118499013401093,0.446684058784485
0.58,20.4795404055306,44.9429628331415,-6.804306,16.1466330682535,1.86495134873683,-0.0857145753709953,-0.352092394434634
0.6,21.6133759474894,44.8057458860527,-6.84145,17.2887414373574,1.90351394850655,0.0642709996162042,0.249975958311999
0.62,22.7721251350472,44.6655276408194,-6.667552,18.4559435775038,1.88258409701029,-0.0337578249939759,-0.158111007435774
0.64,23.9722719459825,44.5288699500282,-6.151332,19.6638457640448,1.88734716647027,0.00744229603122475,0.0643751891018759
0.66,25.2190711239469,44.4023687877542,-5.167688,20.9170459612318,1.89878817755607,0.0173348652815102,0.0149887412883114
0.68,26.4941555917886,44.2988166132974,-3.93121,22.196328358893,1.88129764361938,-0.0257213734363016,-0.0633179981144292
0.7,27.8220072783186,44.2261415357655,-2.26546,23.5261673597931,1.89977000128583,0.0263890823806328,0.0744435083099063
0.72,29.1880170754895,44.1929740234613,-0.474073,24.8925797608782,1.89779500150716,-0.00274305524814321,-0.0404613022621889
0.74,30.5854597660044,44.204486193345,1.360929,26.2900698693687,1.88850014660883,-0.0125606147274778,-0.0132669722693711
0.76,32.0252206075617,44.2613859993283,3.09402,27.7309546214578,1.89590098959084,0.00973795129211848,0.0293402184468373
0.78,33.5050458193695,44.3622111601783,4.548978,29.2142106245006,1.9016102603113,0.00731957784674674,-0.00310047877611762
0.8,35.0154925405941,44.5009924279082,5.730383,30.7310196230007,1.8960112481251,-0.0069987652327555,-0.0178979288493778
0.82,36.5582089687404,44.669951538022,6.593293,32.2829607167806,1.89261108997556,-0.00414653432870512,0.00347833037079314
0.84,38.1388568467249,44.8606512032144,7.060004,33.8750706616278,1.89536898196091,0.00328320474446314,0.00884492746805746
0.86,39.7616337646147,45.0640461879947,7.049671,35.5105444293996,1.9017136834556,0.00737755987754782,0.00476087806172638
0.88,41.4061269476797,45.265506590349,6.631197,37.1673317189646,1.88271282905116,-0.0215918800050399,-0.0329198180483951
0.9,43.0493534919062,45.4493674944752,5.785755,38.8208123834166,1.83720073827999,-0.05056898974575,-0.032196788600789
0.92,44.6714258398617,45.6005611133495,4.499401,40.4499158830108,1.77076467347198,-0.0722131139217481,-0.0235262219304327
